Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13",CP_Radial_D10.0mm_P5.00mm,2,1000uF,
"C10, C11, C12, C5, C8, C9",C_0402_1005Metric,6,100n,
"C2, C4",C_0402_1005Metric,2,0.33,
C3,C_0402_1005Metric,1,0.1,
"C6, C7",C_0402_1005Metric,2,22p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17",D_SOD-128,9,RB080,
D18,LED_0402_1005Metric,1,LED,
"D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,8,4.7V,
F1,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,4A,
"H1, H2, H3, H4",MountingHole_4.3mm_M4,4,MountingHole,
J1,Molex_KK-41791-9_9x3.96mm_Straight,1,J137_IN_C,
J10,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J11,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J12,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
J14,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J15,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
J2,Molex_KK-6410-09_09x2.54mm_Straight,1,J133_IN_R,
J3,Molex_KK-41791-02_02x3.96mm_Straight,1,Conn_Power,
J4,Molex_KK-6410-09_09x2.54mm_Straight,1,J133_OUT_R,
J5,Molex_KK-41791-9_9x3.96mm_Straight,1,J137_OUT_C,
J6,Molex_KK-6410-09_09x2.54mm_Straight,1,J134_OUT_R,
J7,Molex_KK-41791-9_9x3.96mm_Straight,1,J138_OUT_C,
J8,Molex_KK-6410-09_09x2.54mm_Straight,1,J135_OUT_R,
J9,Molex_KK-41791-03_03x3.96mm_Straight,1,136_OUT_C,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TO-220_Vertical,8,FQP11P06,
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q9",TO-220_Vertical,8,FQP13N06L,
"Q17, Q18, Q19, Q20",SOT-23,4,2N7002K,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R4, R5, R6, R69, R7, R8, R9",R_0402_1005Metric,25,1k,
"R25, R27, R28, R29, R30, R31, R32, R33, R34, R44, R46, R48, R50, R52, R54, R56, R58, R59, R60, R61, R62, R63, R64, R65, R66",R_0402_1005Metric,25,10k,
R26,R_2512_HandSoldering,1,0.22,
"R35, R36, R37, R38, R39, R40, R41, R42",R_0402_1005Metric,8,2k,
"R43, R45, R47, R49, R51, R53, R55, R57",R_0402_1005Metric,8,220,
"R67, R70, R71, R72",R_0402_1005Metric,4,100R,
R68,R_0402_1005Metric,1,100k,
"U1, U2",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74LS165,
U3,TO-252-2,1,MC7805BDTG,
U4,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
"U5, U6",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74HC595,
U7,SOIC-18W_7.5x11.6mm_Pitch1.27mm,1,ULN2803A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
